id,upvotes,edited,uncle joke,archived,comments,hash
105,6017,False,False,False,135,cc0d43f508160a7212c7ae19e701741f34256ab9465ab1eaf790841c035d488590b9ff0412b99c554ca190cafb0e0b7b86d8715874922c592df32b8302739a48
106,6016,False,False,True,106,71106c4b907993c34d785ed0a54fcbda62a8309f9b460d9b89c6b06dcaca5ef8fa7cd93e67cbc360f8201406620c5913af549ad1763fd191e54006cb7dbaf9b7
107,5997,False,False,False,92,84ef6ee58b66c6366095673b2f2b2b50516c9e5b4aab1fb5432aa767d78aa9876166bd41c0b0ecea10e8d38ceab3d5578bd8f278d3066393758d33d92de4467b
108,5969,1429540910.0,False,True,85,4512291a2ebeb763a91a5461b450db4a43546c3763c77c5d725ed3824fec7b8978bf465f3dc41a1aa8ace7feea89dc236a4fdf7a235997c48ba62332c0b2b8ee
109,5964,False,False,False,71,9132a647636f25a8db0c8e8bde4ca696588bd1b9f61fa08298369b8e58086a8a6d622e1a97e99905e35fa14dbfa6e361636db97a6b3b882966a91f9004b9dd02
110,5955,False,False,True,37,f9d2d2cec1da2d6e3ad30e5121c1401f681959a0433278a20bcd54205e7b6d88bc1d540ed1fde009601f9956569e64d8a8acc132ea5c9b1890f923d86638cbbc
111,5903,False,False,True,73,a2312444ad974e872cfc9a31fa8ecff68357da8e16f8202811c0bd52323b4415ce89b53dba903ad053c94d520b0f6a0772cfe0ad7b2866c2ddbcf8b5e2b41caf
112,5885,False,False,True,94,b389a186d24c9268a6105e06706fe5a20608cbbab222eda9a1f450ea65ac28232097768e5fdd37a08b4246a494f160a895327e4f77d727d65184a2f64201a276
113,5876,False,False,False,65,07c18f845935bcc1c92f4550dc7a10d6d96027cc55c34e0217baa928111dd3eb8c4126089d8a68eaabaf113c0ebbe1039e9ede49591a763f7212dd6f48129ee4
114,5848,False,False,False,50,8fcf6438c129a9769d1524ad8dc91582c446ba549013b3b458d2c1831c09928136dc188d8dcce511b07292b59fd685c996fef5f3af66f93f49b5f0c69884e93c
115,5795,False,False,False,91,163d7e9c8ba17ef68f44796b5e71c5fd037abe8ca0d77e8bea7517eb0229d231c566ccd2de6c3011d279935eb935b38f05f6cabef5bd07efa775f39b517f9198
116,5776,False,False,False,75,b8f6ff217055e879ef49b8023d530165de47999ee08eb0f4375efe0d3e8193736265aaca646132172aea21da5005469a90e3019c82676c03c385fd843f33dcd4
117,5733,False,False,True,33,1f845762b2ab7550a86a46cc1560142aab945c86ed55c45aa29d155b9b9f67e614c58c464ba5ad5e5287bc16fe49329be9ff6f155a4b20fa33c3aa627dfaf769
118,5727,False,False,True,91,fbeb1e3001bcde4fc4040f04966814d2078351f82c8d7fe1fc0c4486bfb10c09242b65efe85d3b7dd6cd8c3b1a0eed9e5f63139a7378955d1c968cf78a73bb41
119,5689,False,False,True,88,744bdd908f0af7afcb287edcd0b81665b1017b1bca3631e78cb4294b0fbe749a4ae70d15ba2f4ea3c14cdb9b7b9dd50de3fb0d3cccf291e4c84200a25fa15b2d
120,5677,False,False,True,80,7e0ac54539c9a59c25cfe228454545585704d00aec71713eb94e4d72acf804662a6da6ab027b60dfd20e546f98ebefe586136e91208c72c57da0bc4823f7ed11
121,5634,False,False,True,93,3a27d5c9fc7ee3fa92a0b333556a945c3859f666238f555f49718c7fe8081c88a7b1728945f71124c2439fba5d3fde4abd16d37541f59e82e76053330db845e9
122,5631,False,False,False,115,a4376ce1114c3c5b58a6db90df9d6b5faabbdd9df96ca462b863a2bc68e62b2625f8e2386b2c885a741cf9f251d614dd98f35d55a93d95669bdbf8ef14119688
123,5612,False,False,True,91,7488703b56f007e32078fc6a34efd3468415b8f508082eefcb7dbf6bf3330052beece4feea81829e59038aaaa10fa160e2d2ad4b55e60f85b5794e847593c239
124,5561,False,False,True,111,e6098eec0fb8227fd2649a51a3e9ea69867cd88ebb9812dc28a98cb063a273afd8d3f6aecb46535221eb937f77ccfcc1105b5e640860007f097d768418adbe42
125,5551,False,False,False,49,d1285410ac7bf5c3cdd364ae13d51a5903438a0cf40becab6b0a5fdba1701a33071026d05217487001bcadc07edfe1bcadbcdd67c5f1f67c9a496a61e737bb30
126,5511,False,False,False,49,1aacc955122540a1e2f41d88a94181b6002ed7a3a1a32da56cbb15ad78a27bd33911faf9a80abd617c6083ac375ab90637ab07573e942633782e55236333c2c1
127,5477,False,False,False,64,ee362c6f7ebf9a321cfd71c79b1917b2404f865870e79dba4acbebf501ba5a3f84b84976859d1ae3774cc880252ff74a36c2149c2fa0bda100420503bef076ce
128,5464,False,False,False,69,506eddefde0e5803431b2a3012ea96ff3467d020eb637d38e4db5a9cab88febaf3bc99b09ee3ba9e1a1a6c1468238cdb7a4bbea31d1a3d48cc9d49a8b560d6a7
129,5443,False,False,True,119,d28a42ad1d69d5566d2748c954494bdeaac4501fa77fb254113ad2e185ab99a3a31abae8e46de97fce3c778a4d30fc36bfd7ca1906b5c6eeac454369838c07bd
130,5431,False,False,False,100,8bc168d7a670da51a16d56c26869bea44389954bcec8e369fe4067544fe017f7a157b6216e35df8fadd7753e62be8bc9384072f870bc57216786311cd4c3bb7b
131,5420,False,False,True,126,cac519e07e64a00c3553b370f5742ce62af091dff326972c299f3ffad36801868570e8ad49e1d85fe63f58b27cbaa3c1efdc53b66b6e18a53596fc5d3d942ce1
132,5389,False,False,True,158,a04627b9666bafe2fd45431cc84b88084823d32cc739c18129c3e35d145eedd26d047160cb844617ce259020f8685c85e304fffaad1b3bb26fca23e8646d355e
133,5385,False,False,False,59,c8b256afe99a73e11292821658a0858b66fb839805869558118bc81b4e725fbe5d6a8e70c15f9f8c6c944e74c3c67299a3d1611a5e0293be795347476f3622a7
134,5368,False,False,True,213,29998372c095c4a175ea3906f5722883571a88bf50d7f64ba788bd510ce70ed3fab32166f417e88fe4334b1a8da8bd6679a9ee11e8389178c7dd1e2ebe7b8a67
135,5361,False,False,True,75,9b091361c7c9573274639ef9e817efb1c015905c786f21e91223ebd17e86578b2fffd5eecaa026ff759b29a23936eb4d62a5c755bdf92b8ea1dfa4dee709b4cb
136,5346,False,False,True,177,83645aca2b046161fc4d07613b95388e9aa774b73a7f6271c4125258212cdf854268e00fe8c5fa86314f232c4bce9d820f227e52cc06e2b0b07c01e594b95c6b
137,5331,False,False,False,96,d401e34991fad35e8f29fc28c61fb368c30eec0d2ce0ebb78edf0eec39857c3af5fb7ffc537118cc820c859d0bebf883a1232b471f4061f1880bb192ac4dec7c
138,5313,False,False,False,49,d1fd67eb216ee721361dc63acb4daa7481a5d8359aa017962f48e321afca8fd4c75f3733e2bcdee9db51cd27b43cc801098b0347a46e628c1f749023f0d97f26
139,5294,False,False,True,78,e19715a3d9ac8656fc0adae478f66214622c8fa26e698c0559aa84acf5eb4467f2a7c844170eabd98a512bd66fd56d275b6d49a6e76ad3a10ee2a7417db27b85
140,5281,False,False,True,71,e9620df65137b90a5eb6e21a9c3163e8047c15cde7b6a5c68c19a7208510074710dfbb15737f205603037568768d74e24d91ad8a32a4fc8b4d8b58e45eab4067
141,5275,False,False,False,155,2743d35d326d67d2b798445d8be34215dc9e895dc5f678df9467c37aeb8c1d79b5bb65958fd19e6c86326c0f93da07e6ca7fff2206b573f8e80a369fff6eb4c6
142,5237,False,False,True,127,e767ff2b5c32815c0d6458c912da57e881b651050b2fafa30a32d08923c680eb8a79e9a0083e28d6ef61aa09c4c7163560643a7842255418b979f5ec63d8d681
